time,open,high,low,close,tick_volume,spread,real_volume
2020-08-06,1.31135,1.31854,1.31111,1.31419,63965.0,8.0,0.0
2020-08-07,1.31488,1.3149600000000001,1.30091,1.30497,59302.0,8.0,0.0
2020-08-10,1.30592,1.3103,1.30185,1.30722,41686.0,8.0,0.0
2020-08-11,1.30677,1.31314,1.30412,1.30471,55670.0,8.0,0.0
2020-08-12,1.3047,1.3067199999999999,1.3005,1.30311,58096.0,8.0,0.0
2020-08-13,1.30304,1.31243,1.30273,1.30664,49061.0,8.0,0.0
2020-08-14,1.30497,1.31424,1.3048199999999999,1.30834,43592.0,8.0,0.0
2020-08-17,1.309,1.31213,1.30734,1.31026,42021.0,8.0,0.0
2020-08-18,1.30966,1.32497,1.30932,1.32389,50344.0,8.0,0.0
2020-08-19,1.3234,1.32672,1.30923,1.30923,58847.0,8.0,0.0
2020-08-20,1.30933,1.32242,1.3063799999999999,1.32139,65316.0,8.0,0.0
2020-08-21,1.32139,1.32549,1.30579,1.30887,63582.0,8.0,0.0
2020-08-24,1.30792,1.31486,1.30526,1.30626,45184.0,8.0,0.0
2020-08-25,1.30558,1.31701,1.30528,1.31507,51915.0,8.0,0.0
2020-08-26,1.31448,1.3219,1.3117,1.32091,47408.0,8.0,0.0
2020-08-27,1.32022,1.3284,1.31608,1.31985,71409.0,8.0,0.0
2020-08-28,1.31979,1.33564,1.3186200000000001,1.33499,64152.0,8.0,0.0
2020-08-31,1.33325,1.33954,1.3301,1.33687,51085.0,8.0,0.0
2020-09-01,1.33666,1.34823,1.33561,1.3383099999999999,65523.0,8.0,0.0
2020-09-02,1.3376000000000001,1.34022,1.32829,1.33504,57790.0,8.0,0.0
2020-09-03,1.33414,1.33588,1.3241800000000001,1.32804,63858.0,8.0,0.0
2020-09-04,1.32699,1.3318699999999999,1.31752,1.32789,65402.0,8.0,0.0
2020-09-07,1.3244799999999999,1.32646,1.31394,1.31575,41221.0,8.0,0.0
2020-09-08,1.31574,1.31689,1.29787,1.29796,63554.0,8.0,0.0
2020-09-09,1.29799,1.30225,1.28836,1.30009,57925.0,8.0,0.0
2020-09-10,1.29879,1.30343,1.27721,1.28037,69943.0,8.0,0.0
2020-09-11,1.28004,1.2864900000000001,1.27614,1.2794400000000001,56663.0,8.0,0.0
2020-09-14,1.27753,1.29185,1.27718,1.28413,45989.0,8.0,0.0
